block_id,leaf_clusters,entities,border_edge_count,border_weight_sum
0,1,20,17,17.0
1,180,119001,4014,4014.0
2,1,4,1,1.0
3,1,3,5,5.0
4,1,5,48,48.0
5,1,14,25,25.0
6,1,3,4,4.0
7,1,31,91,91.0
8,1,12,26,26.0
9,1,15,50,50.0
10,1,31,73,73.0
11,1,4,10,10.0
12,1,19,44,44.0
13,1,4,8,8.0
14,1,40,135,135.0
15,1,206,63,63.0
16,1,174,53,53.0
17,1,9,15,15.0
18,1,241,64,64.0
19,1,178,85,85.0
20,1,380,131,131.0
21,1,126,31,31.0
22,1,185,81,81.0
23,1,132,118,118.0
24,1,139,29,29.0
25,1,295,106,106.0
26,1,149,73,73.0
27,1,105,46,46.0
28,1,116,24,24.0
29,1,68,31,31.0
30,1,87,143,143.0
31,1,44,80,80.0
32,1,61,83,83.0
33,1,46,97,97.0
34,1,50,31,31.0
35,1,48,157,157.0
36,1,26,63,63.0
37,1,28,112,112.0
38,1,69,79,79.0
39,1,20,49,49.0
40,1,111,144,144.0
41,1,11,12,12.0
42,1,94,151,151.0
43,1,77,139,139.0
44,1,29,35,35.0
45,1,65,120,120.0
46,1,13,28,28.0
47,1,8,18,18.0
48,1,40,113,113.0
49,1,82,148,148.0
50,1,72,148,148.0
51,1,6,25,25.0
52,1,64,107,107.0
53,1,4,2,2.0
54,1,4,4,4.0
55,1,69,112,112.0
56,1,50,139,139.0
57,1,102,153,153.0
58,1,64,111,111.0
59,1,4,0,0.0
60,1,7,0,0.0
61,1,3,0,0.0
62,1,3,0,0.0
63,1,3,0,0.0
